Name,ASIN,Best Sellers Rank,Date First Available,Item Dimensions LxWxH,Net Quantity,Generic Name,No.of ratings,Price,Rating Out of 5
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2 Months of YouTube Premium Free!",B09LHYZ3GJ,"#1,507 in Electronics (See Top 100 in Electronics)
#143 in Smartphones",2 October 2021,16.4 x 0.9 x 7.6 Centimeters,1 Count,Smartphone,32802.0,16999.0,4.1
"Xiaomi Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",B09Y5WPXGW,"#131 in Electronics (See Top 100 in Electronics)
#19 in Smartphones",18 April 2022,17 x 0.9 x 7.7 Centimeters,203 Grams,,330.0,11999.0,4.0
"Vivo Y02 (Orchid Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WJV4JT6,"#3,088 in Electronics (See Top 100 in Electronics)
#228 in Smartphones",1 December 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,15.0,8999.0,3.7
"(Renewed) Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design – Black",B08QGJGD94,"#24,022 in Electronics (See Top 100 in Electronics)
#198 in Basic Mobiles",13 December 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,255.0,N.A,3.4
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2 Months of YouTube Premium Free!",B09LHYZ3GJ,"#1,507 in Electronics (See Top 100 in Electronics)
#143 in Smartphones",2 October 2021,16.4 x 0.9 x 7.6 Centimeters,1 Count,Smartphone,32802.0,16999.0,4.1
"Nokia 215 4G Dual SIM 4G Keypad Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Black",B08MVYVBD6,"#1,247 in Electronics (See Top 100 in Electronics)
#19 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3099.0,3.5
"Nokia 215 4G Dual SIM 4G Keypad Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Black",B08MVYVBD6,"#1,247 in Electronics (See Top 100 in Electronics)
#19 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3099.0,3.5
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",B09WQYFLRX,"#4 in Electronics (See Top 100 in Electronics)
#1 in Smartphones",1 January 2023,7.6 x 0.9 x 16.4 Centimeters,1 Piece,Smartphone,109634.0,18999.0,4.3
"Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Cyan Green",B08MVWSL9C,"#1,404 in Electronics (See Top 100 in Electronics)
#24 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3249.0,3.5
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 12GB RAM, 256GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",B07WHRNJJN,"#1,104 in Electronics (See Top 100 in Electronics)
#108 in Smartphones",3 May 2022,16 x 7.4 x 0.8 Centimeters,1 Count,Smartphone,10062.0,27999.0,4.3
"(Renewed) Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",B0BGBDXJFQ,"#40 in Amazon Renewed (See Top 100 in Amazon Renewed)
#24 in Valentine's Day (Amazon Renewed)
#337 in Smartphones",24 September 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,41.0,N.A,3.2
"Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFKYH4N,"#632 in Electronics (See Top 100 in Electronics)
#72 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",B0B4F2XCK3,"#783 in Electronics (See Top 100 in Electronics)
#80 in Smartphones",16 July 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,20862.0,12999.0,4.1
"Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFKYH4N,"#632 in Electronics (See Top 100 in Electronics)
#72 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",B07WJV6P1R,"#920 in Electronics (See Top 100 in Electronics)
#97 in Smartphones",7 September 2022,16.4 x 7.6 x 0.8 Centimeters,1 Pack,Smartphone,20580.0,15499.0,4.1
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 12GB RAM, 256GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",B07WHRNJJN,"#1,104 in Electronics (See Top 100 in Electronics)
#108 in Smartphones",3 May 2022,16 x 7.4 x 0.8 Centimeters,1 Count,Smartphone,10062.0,27999.0,4.3
"Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Cyan Green",B08MVWSL9C,"#1,404 in Electronics (See Top 100 in Electronics)
#24 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3249.0,3.5
"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",B07WJV6P1R,"#920 in Electronics (See Top 100 in Electronics)
#97 in Smartphones",7 September 2022,16.4 x 7.6 x 0.8 Centimeters,1 Pack,Smartphone,20580.0,15499.0,4.1
"(Renewed) Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design – Cyan Green_124.7 x 51.0 x 13.7 mm",B08PSF68TL,"#172 in Amazon Renewed (See Top 100 in Amazon Renewed)
#29 in For the Cricket Frenzy
#43 in Renewed Electronics
#48 in Like new products by Amazon Renewed",5 December 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,165.0,N.A,3.4
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",B0B4F2XCK3,"#783 in Electronics (See Top 100 in Electronics)
#80 in Smartphones",16 July 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,20862.0,12999.0,4.1
"Tecno POVA 5G (8GB RAM,128GB Storage,Aether Black) | FHD+ Screen | 6000mAh | 50MP AI Triple Rear Camera",B09QQJNTH7,"#1,563 in Electronics (See Top 100 in Electronics)
#149 in Smartphones",13 February 2022,17.3 x 7.8 x 0.9 Centimeters,1 Pack,Smartphone,1125.0,15799.0,3.9
"Tecno POVA 5G (8GB RAM,128GB Storage,Aether Black) | FHD+ Screen | 6000mAh | 50MP AI Triple Rear Camera",B09QQJNTH7,"#1,563 in Electronics (See Top 100 in Electronics)
#149 in Smartphones",13 February 2022,17.3 x 7.8 x 0.9 Centimeters,1 Pack,Smartphone,1125.0,15799.0,3.9
"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Grey)",B09VC9SHHH,"#2,134 in Electronics (See Top 100 in Electronics)
#184 in Smartphones",11 March 2022,14.8 x 7.2 x 0.9 Centimeters,1 Count,Smartphones,3198.0,5699.0,3.4
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BBN3WF7V,"#135 in Electronics (See Top 100 in Electronics)
#20 in Smartphones",9 September 2022,16.5 x 0.9 x 7.7 Centimeters,192 Grams,Smartphone,9198.0,6499.0,4.0
"Redmi Note 11 Pro (Star Blue, 8GB RAM, 128GB Storage)| 67W Turbo Charge | 120Hz Super AMOLED Display | Charger Included | Get 2 Months of YouTube Premium Free!",B09T2XV9T3,"#3,901 in Electronics (See Top 100 in Electronics)
#274 in Smartphones",22 March 2022,16.4 x 0.8 x 7.6 Centimeters,202 Grams,Smartphone,3353.0,19999.0,4.0
"Redmi Note 11 Pro (Star Blue, 8GB RAM, 128GB Storage)| 67W Turbo Charge | 120Hz Super AMOLED Display | Charger Included | Get 2 Months of YouTube Premium Free!",B09T2XV9T3,"#3,901 in Electronics (See Top 100 in Electronics)
#274 in Smartphones",22 March 2022,16.4 x 0.8 x 7.6 Centimeters,202 Grams,Smartphone,3353.0,19999.0,4.0
"Redmi 11 Prime 5G (Thunder Black, 4GB RAM, 64GB Storage) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFJLP21,"#654 in Electronics (See Top 100 in Electronics)
#74 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BBN3WF7V,"#135 in Electronics (See Top 100 in Electronics)
#20 in Smartphones",9 September 2022,16.5 x 0.9 x 7.7 Centimeters,192 Grams,Smartphone,9198.0,6499.0,4.0
"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Grey)",B09VC9SHHH,"#2,134 in Electronics (See Top 100 in Electronics)
#184 in Smartphones",11 March 2022,14.8 x 7.2 x 0.9 Centimeters,1 Count,Smartphones,3198.0,5699.0,3.4
"(Renewed) Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BPLM87LF,"#36,176 in Electronics (See Top 100 in Electronics)
#1,304 in Smartphones",9 December 2022,9 x 8 x 7 Centimeters,192 Grams,Smartphone,3.0,N.A,2.5
"(Renewed) Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Grey)",B09WQ1KP4P,"#28,833 in Electronics (See Top 100 in Electronics)
#1,127 in Smartphones",28 March 2022,14.8 x 7.2 x 0.9 Centimeters,1 Count,Smartphones,52.0,N.A,3.2
"Redmi 11 Prime 5G (Thunder Black, 4GB RAM, 64GB Storage) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFJLP21,"#654 in Electronics (See Top 100 in Electronics)
#74 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"Redmi 11 Prime 5G (Meadow Green, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFJ9M3X,"#385 in Electronics (See Top 100 in Electronics)
#53 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
(Renewed) NOKIA 125 DS (Black),B08NCX4Z7N,"#75 in Amazon Renewed (See Top 100 in Amazon Renewed)
#7 in Celebrate Onam with Renewed
#103 in Basic Mobiles",12 November 2020,13.2 x 5 x 1.5 Centimeters,,Feature Phone,11.0,N.A,3.6
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,B0BBM7L888,"#962 in Electronics (See Top 100 in Electronics)
#100 in Smartphones",6 September 2022,9 x 76 x 164 Millimeters,1 Count,Smartphone,2430.0,8999.0,4.1
"POCO X4 Pro 5G (Laser Black, 6GB RAM 128GB Storage)",B0B66VZ7Y5,"#2,176 in Electronics (See Top 100 in Electronics)
#187 in Smartphones",10 July 2022,8 x 76 x 164 Millimeters,,,124.0,18440.0,3.8
"realme narzo 50 5G (Hyper Blue, 6GB RAM+128GB Storage) Dimensity 810 5G Processor | 48MP Ultra HD Camera",B09ZBFH4P2,"#2,085 in Electronics (See Top 100 in Electronics)
#182 in Smartphones",17 May 2022,18.4 x 9.8 x 6.5 Centimeters,1 Count,Smartphone,3027.0,17999.0,4.2
Nokia 125 TA-1253 DS in Black,B08JCX8X2M,"#3,337 in Electronics (See Top 100 in Electronics)
#52 in Basic Mobiles",17 September 2020,13.2 x 5 x 1.5 Centimeters,,Feature Phone,1546.0,2199.0,3.7
"realme narzo 50 5G (Hyper Blue, 6GB RAM+128GB Storage) Dimensity 810 5G Processor | 48MP Ultra HD Camera",B09ZBFH4P2,"#2,085 in Electronics (See Top 100 in Electronics)
#182 in Smartphones",17 May 2022,18.4 x 9.8 x 6.5 Centimeters,1 Count,Smartphone,3027.0,17999.0,4.2
"POCO X4 Pro 5G (Laser Black, 6GB RAM 128GB Storage)",B0B66VZ7Y5,"#2,176 in Electronics (See Top 100 in Electronics)
#187 in Smartphones",10 July 2022,8 x 76 x 164 Millimeters,,,124.0,18440.0,3.8
"Redmi 11 Prime 5G (Meadow Green, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFJ9M3X,"#385 in Electronics (See Top 100 in Electronics)
#53 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
Nokia 125 TA-1253 DS in Black,B08JCX8X2M,"#3,337 in Electronics (See Top 100 in Electronics)
#52 in Basic Mobiles",17 September 2020,13.2 x 5 x 1.5 Centimeters,,Feature Phone,1546.0,2199.0,3.7
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,B0BBM7L888,"#962 in Electronics (See Top 100 in Electronics)
#100 in Smartphones",6 September 2022,9 x 76 x 164 Millimeters,1 Count,Smartphone,2430.0,8999.0,4.1
Redmi Note 12 5G Matte Black 6GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,B0BQ3MT8P2,"#345 in Electronics (See Top 100 in Electronics)
#47 in Smartphones",6 January 2023,16.6 x 0.8 x 7.6 Centimeters,188 Grams,Smartphone,683.0,19999.0,3.4
Redmi Note 12 5G Matte Black 6GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,B0BQ3MT8P2,"#345 in Electronics (See Top 100 in Electronics)
#47 in Smartphones",6 January 2023,16.6 x 0.8 x 7.6 Centimeters,188 Grams,Smartphone,683.0,19999.0,3.4
Lava A3 (White Beige) - Dual Sim Mobile with 1750 mAh Big Battery and 32 GB Expandable Storage,B07R2C5NKP,"#1,498 in Electronics (See Top 100 in Electronics)
#27 in Basic Mobiles",24 April 2019,11.8 x 1.5 x 5 Centimeters,1 Count,Mobile,5575.0,1212.0,4.0
Lava A3 (Dark Blue) - Dual Sim Mobile with 1750 mAh Big Battery and 32 GB Expandable Storage,B07R3SNX8D,"#1,826 in Electronics (See Top 100 in Electronics)
#32 in Basic Mobiles",24 April 2019,11.8 x 1.5 x 5 Centimeters,1 Count,Mobile,5575.0,1212.0,4.0
"iQOO Neo 6 5G (Maverick Orange, 12GB RAM, 256GB Storage) | Only Snapdragon 870 in The Segment | 50% Charge in Just 12 Mins | 90 FPS Gaming Support*",B07WHQVTRQ,"#3,289 in Electronics (See Top 100 in Electronics)
#234 in Smartphones",3 December 2021,16.3 x 7.6 x 0.9 Centimeters,,Smartphone,21180.0,33999.0,4.4
"OPPO A15s (Fancy White, 4GB, 128GB Storage) AI Triple Camera | 6.52"" HD+ Screen | 2.3GHz Mediatek Helio P35 Octa Core Processor",B08LRDT7PL,"#1,875 in Electronics (See Top 100 in Electronics)
#170 in Smartphones",18 January 2021,7.5 x 0.8 x 164.5 Centimeters,1 Count,Smartphone,10279.0,11490.0,4.2
"iQOO Neo 6 5G (Maverick Orange, 12GB RAM, 256GB Storage) | Only Snapdragon 870 in The Segment | 50% Charge in Just 12 Mins | 90 FPS Gaming Support*",B07WHQVTRQ,"#3,289 in Electronics (See Top 100 in Electronics)
#234 in Smartphones",3 December 2021,16.3 x 7.6 x 0.9 Centimeters,,Smartphone,21180.0,33999.0,4.4
Lava A3 (Dark Blue) - Dual Sim Mobile with 1750 mAh Big Battery and 32 GB Expandable Storage,B07R3SNX8D,"#1,826 in Electronics (See Top 100 in Electronics)
#32 in Basic Mobiles",24 April 2019,11.8 x 1.5 x 5 Centimeters,1 Count,Mobile,5575.0,1212.0,4.0
Lava A3 (White Beige) - Dual Sim Mobile with 1750 mAh Big Battery and 32 GB Expandable Storage,B07R2C5NKP,"#1,498 in Electronics (See Top 100 in Electronics)
#27 in Basic Mobiles",24 April 2019,11.8 x 1.5 x 5 Centimeters,1 Count,Mobile,5575.0,1212.0,4.0
SHIVANSH LYF Flame 7S 4G Smartphone Unlock for All Carrier All SIM WROKING,B0BR1DD77T,"#6,046 in Electronics (See Top 100 in Electronics)
#387 in Smartphones",24 December 2022,,1.00 1,,N.A,2490.0,
"OPPO A15s (Fancy White, 4GB, 128GB Storage) AI Triple Camera | 6.52"" HD+ Screen | 2.3GHz Mediatek Helio P35 Octa Core Processor",B08LRDT7PL,"#1,875 in Electronics (See Top 100 in Electronics)
#170 in Smartphones",18 January 2021,7.5 x 0.8 x 164.5 Centimeters,1 Count,Smartphone,10279.0,11490.0,4.2
SHIVANSH LYF Flame 7S 4G Smartphone Unlock for All Carrier All SIM WROKING,B0BR1DD77T,"#6,046 in Electronics (See Top 100 in Electronics)
#387 in Smartphones",24 December 2022,,1.00 1,,N.A,2490.0,
"Vivo Y02 (Cosmic Grey, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WFPMGQS,"#5,064 in Electronics (See Top 100 in Electronics)
#333 in Smartphones",1 December 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,15.0,8999.0,3.7
"Tecno POVA 3 (Eco Black, 4GB RAM,64GB Storage) | 7000mAh Battery |33W Fast Charger",B0B31624DQ,"#3,674 in Electronics (See Top 100 in Electronics)
#260 in Smartphones",26 June 2022,17.3 x 7.8 x 0.9 Centimeters,1 Count,Smartphone,1845.0,9999.0,3.9
Apple iPhone 14 128GB (Product) RED,,,,,,,424.0,72499.0,
"Redmi K50i 5G (Stealth Black, 8GB RAM, 256GB Storage) | Flagship Mediatek Dimensity 8100 Processor | 144Hz Liquid FFS Display | Alexa Built-in",B0B4DQW8N7,"#3,075 in Electronics (See Top 100 in Electronics)
#227 in Smartphones",22 July 2022,16.4 x 0.9 x 7.4 Centimeters,200 Grams,Smartphones,7388.0,26999.0,4.0
"Tecno POVA 3 (Eco Black, 4GB RAM,64GB Storage) | 7000mAh Battery |33W Fast Charger",B0B31624DQ,"#3,674 in Electronics (See Top 100 in Electronics)
#260 in Smartphones",26 June 2022,17.3 x 7.8 x 0.9 Centimeters,1 Count,Smartphone,1845.0,9999.0,3.9
"Redmi K50i 5G (Stealth Black, 8GB RAM, 256GB Storage) | Flagship Mediatek Dimensity 8100 Processor | 144Hz Liquid FFS Display | Alexa Built-in",B0B4DQW8N7,"#3,075 in Electronics (See Top 100 in Electronics)
#227 in Smartphones",22 July 2022,16.4 x 0.9 x 7.4 Centimeters,200 Grams,Smartphones,7388.0,26999.0,4.0
"Vivo Y02 (Cosmic Grey, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WFPMGQS,"#5,064 in Electronics (See Top 100 in Electronics)
#333 in Smartphones",1 December 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,15.0,8999.0,3.7
Apple iPhone 14 128GB (Product) RED,,,,,,,424.0,72499.0,
