Name,No.of ratings,Price,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,Packer,Importer,Item Dimensions LxWxH,Net Quantity,Generic Name,Manufacturer
"boAt Rockerz 450 Pro Bluetooth On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Luscious Black)",108900.0,1999.0,B08XY16Y6J,"108,900 ratings
4.1 out of 5 stars","#330 in Electronics (See Top 100 in Electronics)
#7 in On-Ear Headphones",3 March 2021,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",8 x 18.2 x 17.6 Centimeters,1 Piece,Headphones,
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dual Pairing, IPX5, with Mic (Active Black)",112027.0,1799.0,B09LHXTXMX,"112,027 ratings
4.1 out of 5 stars","#240 in Electronics (See Top 100 in Electronics)
#74 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,17 x 14 x 2 Centimeters,1 Piece,Rockerz 330 Pro,
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",57706.0,229.0,B08SFFP19B,"57,706 ratings
3.6 out of 5 stars","#292 in Electronics (See Top 100 in Electronics)
#85 in In-Ear Headphones",7 January 2021,"Palred Electronics Pvt. Ltd., Sy.No.1240, Kurnool Nandyal Road, Nannur Village, Kurnool, Andhra Pradesh, 518002",Palred Electronics Pvt. Ltd.,120 x 1.5 x 1 Centimeters,1 count,Wired Earphones,
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5(Navy Blue)",112027.0,999.0,B092XRRZ6C,"112,027 ratings
4.1 out of 5 stars","#25 in Electronics (See Top 100 in Electronics)
#10 in In-Ear Headphones",19 April 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,17 x 13 x 13 Centimeters,1 Piece,Rockerz 330,
"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12mm Drivers, IPX5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Navy Blue)",87952.0,1099.0,B097DTJRWZ,"87,952 ratings
3.9 out of 5 stars","#2,624 in Electronics (See Top 100 in Electronics)
#388 in In-Ear Headphones",17 June 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,35 x 2 x 2 Centimeters,1 Piece,Rockerz 245v2,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",63344.0,1099.0,B09N3ZNHTY,"63,344 ratings
3.9 out of 5 stars","#1 in Electronics (See Top 100 in Electronics)
#1 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 count,Airdopes 141,
"Boult Audio Z20 True Wireless in Ear Earbuds with Zen ENC Mic, 40H Playtime, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, Environmental Noise Cancellation, IPX5 Ear Buds TWS (Green)",10398.0,1399.0,B0B31BYXQQ,"10,398 ratings
3.8 out of 5 stars","#124 in Electronics (See Top 100 in Electronics)
#41 in In-Ear Headphones",2 June 2022,"Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052","Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052",6.5 x 3.5 x 3.5 Centimeters,1 Pack,True Wireless Headphones,
"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12mm Drivers, IPX5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Navy Blue)",87952.0,1099.0,B097DTJRWZ,"87,952 ratings
3.9 out of 5 stars","#2,624 in Electronics (See Top 100 in Electronics)
#388 in In-Ear Headphones",17 June 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,35 x 2 x 2 Centimeters,1 Piece,Rockerz 245v2,
"Boult Audio Z20 True Wireless in Ear Earbuds with Zen ENC Mic, 40H Playtime, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, Environmental Noise Cancellation, IPX5 Ear Buds TWS (Green)",10398.0,1399.0,B0B31BYXQQ,"10,398 ratings
3.8 out of 5 stars","#124 in Electronics (See Top 100 in Electronics)
#41 in In-Ear Headphones",2 June 2022,"Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052","Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052",6.5 x 3.5 x 3.5 Centimeters,1 Pack,True Wireless Headphones,
boAt BassHeads 132 Wired in Ear Earphone with Mic (Silver Surfer),4257.0,497.0,B07R17737G,"4,257 ratings
4.0 out of 5 stars","#3,925 in Electronics (See Top 100 in Electronics)
#491 in In-Ear Headphones",24 April 2019,,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,,Wired Earphones,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",63344.0,1099.0,B09N3ZNHTY,"63,344 ratings
3.9 out of 5 stars","#1 in Electronics (See Top 100 in Electronics)
#1 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 count,Airdopes 141,
"Boult Audio Powerbuds True Wireless in Ear Earbuds with 120H Playtime, in-Built Powerbank, Type-C Fast Charging, Made in India, Pro+ Calling HD Mic, IPX7 Waterproof, Bluetooth Ear Buds TWS (Black)",28878.0,1499.0,B08D11DZ2W,"28,878 ratings
3.7 out of 5 stars","#286 in Electronics (See Top 100 in Electronics)
#84 in In-Ear Headphones",5 August 2020,"9555602502, Exotic Mile Private Limited, B-67 Wazirpur Industrial Area, Delhi - 110052.","Exotic Mile Private Limited, B-67 Wazirpur Industrial Area, Delhi - 110052.",9.6 x 8.5 x 3.5 Centimeters,1 U,True Wireless Earbuds,
"Boult Audio Z25 True Wireless in Ear Earbuds with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), Made in India, Zen ENC Mic, 13mm Bass Drivers, Bluetooth 5.3 Ear Buds (Blue Moss)",538.0,1299.0,B0BLHL74S7,"538 ratings
4.1 out of 5 stars","#258 in Electronics (See Top 100 in Electronics)
#80 in In-Ear Headphones",28 December 2022,"Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052","Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052",7 x 3.2 x 3.2 Centimeters,1 Pack,True Wireless Headphones,
"Boult Audio Probass Anchor Active Noise Cancellation Bluetooth Wireless Over Ear Headphones with Mic with 30Hrs Playtime, Extra Bass with 40 Mm Drivers (Black)",355.0,3999.0,B095KXJFQ7,"355 ratings
4.0 out of 5 stars","#2,181 in Electronics (See Top 100 in Electronics)
#18 in Over-Ear Headphones",21 May 2021,"B-67, Wazirpur industrial area Delhi","Exotic Mile,B-67, Wazirpur industrial area Delhi",22 x 9 x 18 Centimeters,,Over Ear,
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5(Navy Blue)",112027.0,999.0,B092XRRZ6C,"112,027 ratings
4.1 out of 5 stars","#25 in Electronics (See Top 100 in Electronics)
#10 in In-Ear Headphones",19 April 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,17 x 13 x 13 Centimeters,1 Piece,Rockerz 330,
boAt Bassheads 242 in Ear Wired Earphones with Mic(Red),163179.0,599.0,B08GG978NG,"163,179 ratings
4.1 out of 5 stars","#865 in Electronics (See Top 100 in Electronics)
#205 in In-Ear Headphones",21 August 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),163179.0,599.0,B08H9Z3XQW,"163,179 ratings
4.1 out of 5 stars","#488 in Electronics (See Top 100 in Electronics)
#136 in In-Ear Headphones",2 September 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Gregarious Green)",34245.0,1199.0,B0856J7XF8,"34,245 ratings
4.0 out of 5 stars","#778 in Electronics (See Top 100 in Electronics)
#15 in On-Ear Headphones",26 February 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",7 x 18 x 16 Centimeters,1 Piece,Headphones,
boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),76565.0,449.0,B07S8PSW59,"76,565 ratings
4.2 out of 5 stars","#391 in Electronics (See Top 100 in Electronics)
#112 in In-Ear Headphones",27 May 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, IPX4 Water Resistance, ENx Tech, IWP, Smooth Touch Controls(Cyan Cider)",40691.0,1099.0,B09N3XMZ5F,"40,691 ratings
3.9 out of 5 stars","#2 in Electronics (See Top 100 in Electronics)
#2 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 Piece,Airdopes 141,
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),27326.0,449.0,B08YYQ3WFG,"27,326 ratings
4.0 out of 5 stars","#209 in Electronics (See Top 100 in Electronics)
#64 in In-Ear Headphones",15 March 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,120 x 1 x 1 Centimeters,1 Piece,Bassheads 105,
boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),163179.0,599.0,B08H9Z3XQW,"163,179 ratings
4.1 out of 5 stars","#488 in Electronics (See Top 100 in Electronics)
#136 in In-Ear Headphones",2 September 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 220 Wired in Ear Earphones(Raging Red Indi),48.0,499.0,B0BRXWF8LQ,"48 ratings
3.4 out of 5 stars","#2,259 in Electronics (See Top 100 in Electronics)
#365 in In-Ear Headphones",9 January 2023,Imagine Marketing Ltd,,120 x 2 x 2 Centimeters,1 Piece,Wired Earphones,
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)",184489.0,1299.0,B08JQN8DGZ,"184,489 ratings
3.8 out of 5 stars","#28 in Electronics (See Top 100 in Electronics)
#12 in In-Ear Headphones",22 September 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",27 x 32 x 67 Millimeters,1 Piece,True Wireless Earbuds,
boAt Bassheads 220 Wired in Ear Earphones(Raging Red Indi),48.0,499.0,B0BRXWF8LQ,"48 ratings
3.4 out of 5 stars","#2,259 in Electronics (See Top 100 in Electronics)
#365 in In-Ear Headphones",9 January 2023,Imagine Marketing Ltd,,120 x 2 x 2 Centimeters,1 Piece,Wired Earphones,
boAt Bassheads 242 in Ear Wired Earphones with Mic(Red),163179.0,599.0,B08GG978NG,"163,179 ratings
4.1 out of 5 stars","#865 in Electronics (See Top 100 in Electronics)
#205 in In-Ear Headphones",21 August 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"Boult Audio Probass Anchor Active Noise Cancellation Bluetooth Wireless Over Ear Headphones with Mic with 30Hrs Playtime, Extra Bass with 40 Mm Drivers (Black)",355.0,3999.0,B095KXJFQ7,"355 ratings
4.0 out of 5 stars","#2,181 in Electronics (See Top 100 in Electronics)
#18 in Over-Ear Headphones",21 May 2021,"B-67, Wazirpur industrial area Delhi","Exotic Mile,B-67, Wazirpur industrial area Delhi",22 x 9 x 18 Centimeters,,Over Ear,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",63344.0,1099.0,B09N3ZNHTY,"63,344 ratings
3.9 out of 5 stars","#1 in Electronics (See Top 100 in Electronics)
#1 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 count,Airdopes 141,
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)",184489.0,1299.0,B08JQN8DGZ,"184,489 ratings
3.8 out of 5 stars","#28 in Electronics (See Top 100 in Electronics)
#12 in In-Ear Headphones",22 September 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",27 x 32 x 67 Millimeters,1 Piece,True Wireless Earbuds,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",63344.0,1099.0,B09N3ZNHTY,"63,344 ratings
3.9 out of 5 stars","#1 in Electronics (See Top 100 in Electronics)
#1 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 count,Airdopes 141,
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Orange),366529.0,399.0,B08MD23PMW,"366,529 ratings
4.1 out of 5 stars","#442 in Electronics (See Top 100 in Electronics)
#124 in In-Ear Headphones",1 November 2020,Imagine Marketing Ltd,Imagine Marketing Ltd,120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Orange),366529.0,399.0,B08MD23PMW,"366,529 ratings
4.1 out of 5 stars","#442 in Electronics (See Top 100 in Electronics)
#124 in In-Ear Headphones",1 November 2020,Imagine Marketing Ltd,Imagine Marketing Ltd,120 x 1 x 1 Centimeters,1 Piece,Headphones,
"Boult Audio Z25 True Wireless in Ear Earbuds with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), Made in India, Zen ENC Mic, 13mm Bass Drivers, Bluetooth 5.3 Ear Buds (Blue Moss)",538.0,1299.0,B0BLHL74S7,"538 ratings
4.1 out of 5 stars","#258 in Electronics (See Top 100 in Electronics)
#80 in In-Ear Headphones",28 December 2022,"Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052","Exotic Mile Pvt. Ltd. , B67 Wazirpur Industrial Area , New Delhi 110052",7 x 3.2 x 3.2 Centimeters,1 Pack,True Wireless Headphones,
boAt BassHeads 100 in-Ear Wired Headphones with Mic (White),366529.0,399.0,B07234XXJF,"366,529 ratings
4.1 out of 5 stars","#254 in Electronics (See Top 100 in Electronics)
#77 in In-Ear Headphones",16 May 2017,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt BassHeads 100 in-Ear Wired Headphones with Mic (White),366529.0,399.0,B07234XXJF,"366,529 ratings
4.1 out of 5 stars","#254 in Electronics (See Top 100 in Electronics)
#77 in In-Ear Headphones",16 May 2017,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",57706.0,229.0,B08SFFP19B,"57,706 ratings
3.6 out of 5 stars","#292 in Electronics (See Top 100 in Electronics)
#85 in In-Ear Headphones",7 January 2021,"Palred Electronics Pvt. Ltd., Sy.No.1240, Kurnool Nandyal Road, Nannur Village, Kurnool, Andhra Pradesh, 518002",Palred Electronics Pvt. Ltd.,120 x 1.5 x 1 Centimeters,1 count,Wired Earphones,
"SYSKA PACE HE100H 100 hrs Playtime Bluetooth Neckband, autoENC, Wireless in Ear Earphones with Mic, Earphones with Rapid Pulse Charging, 10 mm Drivers, Deep Bass (Teal Green)",18.0,1290.0,B0BG8HBDFL,"18 ratings
4.2 out of 5 stars","#11,239 in Electronics (See Top 100 in Electronics)
#864 in In-Ear Headphones",22 September 2022,"Syska Led Lights Pvt. Ltd. Syska House, Office No. S-2 2nd Floor Sakore nagar,Pune-411014,Maharashtra, 1800-102-8787","Syska Led Lights Pvt. Ltd. Syska House, Office No. S-2 2nd Floor Sakore nagar,Pune-411014,Maharashtra, 1800-102-8787",12 x 7 x 1 Centimeters,1.00 count,Bluetooth Earphones,
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, IPX4 Water Resistance, ENx Tech, IWP, Smooth Touch Controls(Cyan Cider)",40691.0,1099.0,B09N3XMZ5F,"40,691 ratings
3.9 out of 5 stars","#2 in Electronics (See Top 100 in Electronics)
#2 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Ltd,50 x 50 x 20 Millimeters,1 Piece,Airdopes 141,
"boAt Rockerz 450 Pro Bluetooth On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Luscious Black)",108900.0,1999.0,B08XY16Y6J,"108,900 ratings
4.1 out of 5 stars","#330 in Electronics (See Top 100 in Electronics)
#7 in On-Ear Headphones",3 March 2021,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",8 x 18.2 x 17.6 Centimeters,1 Piece,Headphones,
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dual Pairing, IPX5, with Mic (Active Black)",112027.0,1799.0,B09LHXTXMX,"112,027 ratings
4.1 out of 5 stars","#240 in Electronics (See Top 100 in Electronics)
#74 in In-Ear Headphones",6 December 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,17 x 14 x 2 Centimeters,1 Piece,Rockerz 330 Pro,
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Gregarious Green)",34245.0,1199.0,B0856J7XF8,"34,245 ratings
4.0 out of 5 stars","#778 in Electronics (See Top 100 in Electronics)
#15 in On-Ear Headphones",26 February 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",7 x 18 x 16 Centimeters,1 Piece,Headphones,
boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),76565.0,449.0,B07S8PSW59,"76,565 ratings
4.2 out of 5 stars","#391 in Electronics (See Top 100 in Electronics)
#112 in In-Ear Headphones",27 May 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt BassHeads 132 Wired in Ear Earphone with Mic (Silver Surfer),4257.0,497.0,B07R17737G,"4,257 ratings
4.0 out of 5 stars","#3,925 in Electronics (See Top 100 in Electronics)
#491 in In-Ear Headphones",24 April 2019,,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,,Wired Earphones,
"SYSKA PACE HE100H 100 hrs Playtime Bluetooth Neckband, autoENC, Wireless in Ear Earphones with Mic, Earphones with Rapid Pulse Charging, 10 mm Drivers, Deep Bass (Teal Green)",18.0,1290.0,B0BG8HBDFL,"18 ratings
4.2 out of 5 stars","#11,239 in Electronics (See Top 100 in Electronics)
#864 in In-Ear Headphones",22 September 2022,"Syska Led Lights Pvt. Ltd. Syska House, Office No. S-2 2nd Floor Sakore nagar,Pune-411014,Maharashtra, 1800-102-8787","Syska Led Lights Pvt. Ltd. Syska House, Office No. S-2 2nd Floor Sakore nagar,Pune-411014,Maharashtra, 1800-102-8787",12 x 7 x 1 Centimeters,1.00 count,Bluetooth Earphones,
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),27326.0,449.0,B08YYQ3WFG,"27,326 ratings
4.0 out of 5 stars","#209 in Electronics (See Top 100 in Electronics)
#64 in In-Ear Headphones",15 March 2021,Imagine Marketing Ltd,Imagine Marketing Pvt Ltd,120 x 1 x 1 Centimeters,1 Piece,Bassheads 105,
